wavelength,normalized_radiation_A,normalized_radiation_B,normalized_radiation_C
33450,,,3.78E-05
33460,,,3.77E-05
33470,,,3.77E-05
33480,,,3.77E-05
33490,,,3.76E-05
33500,,,3.76E-05
33510,,,3.75E-05
33520,,,3.75E-05
33530,,,3.75E-05
33540,,,3.74E-05
33550,,,3.74E-05
33560,,,3.74E-05
33570,,,3.73E-05
33580,,,3.73E-05
33590,,,3.72E-05
33600,,,3.72E-05
33610,,,3.72E-05
33620,,,3.71E-05
33630,,,3.71E-05
33640,,,3.71E-05
33650,,,3.70E-05
33660,,,3.70E-05
33670,,,3.70E-05
33680,,,3.69E-05
33690,,,3.69E-05
33700,,,3.68E-05
33710,,,3.68E-05
33720,,,3.68E-05
33730,,,3.67E-05
33740,,,3.67E-05
33750,,,3.67E-05
33760,,,3.66E-05
33770,,,3.66E-05
33780,,,3.66E-05
33790,,,3.65E-05
33800,,,3.65E-05
33810,,,3.64E-05
33820,,,3.64E-05
33830,,,3.64E-05
33840,,,3.63E-05
33850,,,3.63E-05
33860,,,3.63E-05
33870,,,3.62E-05
33880,,,3.62E-05
33890,,,3.62E-05
33900,,,3.61E-05
33910,,,3.61E-05
